app,input,Aperture,core-trail,share-trail,uwrmaxsat20,uwrmaxsat20scip
ipamiradaboost,anneal-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,audiology-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,australian-credit-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,breast-cancer-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,car-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,heart-cleveland-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,hypothyroid-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,kr-vs-kp-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,lymph-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,mushroom-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,primary-tumor-un.csv,1067.2,timeout,timeout,timeout,timeout
ipamiradaboost,soybean-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,splice-1-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,tic-tac-toe-un.csv,timeout,timeout,timeout,timeout,timeout
ipamiradaboost,vote-un.csv,timeout,timeout,timeout,timeout,timeout
ipamirextenf,A-1-BA_120_30_3_121_20_3.apx,timeout,224.607,timeout,timeout,timeout
ipamirextenf,B-1-grd_156_3_6_156_10_2.apx,timeout,19.2474,18.0684,84.4937,1433.77
ipamirextenf,T-2-stb_265_466_265_2_3.apx,timeout,16.8516,15.2685,16.8976,26.7655
ipamirextenf,A-1-grd_418_2_9_418_10_0.apx,timeout,1463.25,1788.58,timeout,timeout
ipamirextenf,Small-result-b19_11_20_3.apx,74.6489,0.011444,0.022406,0.126108,0.288482
ipamirextenf,T-1-BA_80_30_3_81_7_0.apx,timeout,495.274,memout,timeout,timeout
ipamirextenf,Small-result-b90_85_2_1.apx,timeout,2128.41,timeout,timeout,timeout
ipamirextenf,T-1-grd_156_3_6_156_2_2.apx,timeout,24.3214,11.8546,timeout,timeout
ipamirextenf,Small-result-b31_16_2_4.apx,timeout,timeout,25.6771,timeout,timeout
ipamirextenf,A-1-stb_437_137_437_5_0.apx,timeout,554.386,timeout,timeout,timeout
ipamirextenf,Small-result-b5_47_2_1.apx,timeout,1243.9,memout,timeout,timeout
ipamirextenf,B-3-stb_390_450_390_10_4.apx,timeout,411.85,timeout,timeout,timeout
ipamirextenf,Small-result-b27_191_5_1.apx,timeout,62.8814,44.7912,70.4959,77.775
ipamirextenf,Small-result-b54_47_2_1.apx,timeout,2646.39,timeout,timeout,timeout
ipamirextenf,A-1-ferry2.pfile-L2-C1-08.pddl.1.cnf_86_2_4.apx,timeout,720.397,memout,timeout,timeout
ipamirextenf,T-1-stb_218_401_218_2_0.apx,timeout,10.1456,6.75795,9.1627,543.222
ipamirextenf,C-1-BA_120_20_5_121_30_1.apx,timeout,166.104,timeout,timeout,timeout
ipamirextenf,Small-result-b91_99_2_4.apx,timeout,2003.46,memout,timeout,timeout
ipamirextenf,T-1-caravan-airport-transportation_20151216_1604.gml.20_19_2_1.apx,timeout,1.13386,0.216788,245.216,571.406
ipamirextenf,A-1-caravan-or-us.gml.80_19_10_1.apx,timeout,timeout,229.157,timeout,timeout
ipamirextenf,B-1-stb_138_162_138_5_0.apx,timeout,5.63653,14.762,timeout,timeout
ipamirextenf,B-2-WS_200_20_90_50_200_7_2.apx,timeout,399.059,2234.44,timeout,timeout
ipamirextenf,B-1-afinput_exp_cycles_indvary1_step8_batch_yyy08_41_30_4.apx,timeout,0.132632,0.388374,0.11496,0.174983
ipamirextenf,T-1-BA_100_10_3_101_20_0.apx,timeout,248.125,timeout,timeout,timeout
ipamirextenf,Small-result-b24_95_5_4.apx,timeout,3.6127,2.52953,2.91238,3.45925
ipamirextenf,Small-result-b56_46_10_0.apx,timeout,3539.26,timeout,timeout,timeout
ipamirextenf,C-1-stb_463_93_463_2_3.apx,timeout,668.437,118.156,1636,1240.85
ipamirextenf,Small-result-b93_103_2_4.apx,1087.29,0.741474,0.635366,0.880234,1.23086
ipamirextenf,T-1-BA_80_30_3_81_2_1.apx,timeout,1409.2,memout,timeout,timeout
ipamirextenf,T-1-BA_80_30_3_81_10_3.apx,timeout,409.044,memout,timeout,timeout
